[2026-01-22 12:14:36] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:16:36] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:18:03] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:20:27] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:26:08] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:30:13] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:32:50] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:34:49] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:36:20] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:42:38] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
